Coad_ID,cenRA,cenDec
0148p242,14.862383,24.231111
0148p666,14.845269,66.635556
0149m364,14.922226,-36.346667
0149m455,14.911237,-45.433333
0149p363,14.922226,36.346667
0149p454,14.911237,45.433333
0150m258,15.00008,-25.745556
0150m606,15.000252,-60.577778
0150p257,15.00008,25.745556
0150p605,15.000252,60.577778
0151m016,15.126107,-1.514444
0151m031,15.126117,-3.028889
0151m046,15.189863,-4.543333
0151m061,15.18993,-6.057778
0151m379,15.15799,-37.861111
0151p000,15.126108,0.0
0151p015,15.126107,1.514444
0151p030,15.126117,3.028889
0151p045,15.189863,4.543333
0151p060,15.18993,6.057778
0151p378,15.15799,37.861111
0152m076,15.254237,-7.572222
0152m273,15.211326,-27.26
0152m470,15.272857,-46.947778
0152p075,15.254237,7.572222
0152p272,15.211326,27.26
0152p469,15.272857,46.947778
0153m091,15.319136,-9.086667
0153m107,15.384601,-10.601111
0153m546,15.319333,-54.52
0153p090,15.319136,9.086667
0153p106,15.384601,10.601111
0153p545,15.319333,54.52
0154m122,15.450642,-12.115556
0154m288,15.428602,-28.774444
0154m394,15.483944,-39.375556
0154p121,15.450642,12.115556
0154p287,15.428602,28.774444
0154p393,15.483944,39.375556
0155m137,15.517294,-13.63
0155p136,15.517294,13.63
0156m152,15.65215,-15.144444
0156m303,15.652213,-30.288889
0156p151,15.65215,15.144444
0156p302,15.652213,30.288889
0157m167,15.720593,-16.658889
0157m485,15.749999,-48.462222
0157m621,15.789457,-62.092222
0157p166,15.720593,16.658889
0157p484,15.749999,48.462222
0157p620,15.789457,62.092222
0158m182,15.859071,-18.173333
0158m319,15.882431,-31.803333
0158m409,15.824249,-40.89
0158m682,15.82375,-68.15
0158m743,15.882878,-74.207778
0158p181,15.859071,18.173333
0158p318,15.882431,31.803333
0158p408,15.824249,40.89
0158p681,15.82375,68.15
0158p742,15.882878,74.207778
0159m561,15.999793,-56.034444
0159p560,15.999793,56.034444
0160m197,16.000031,-19.687778
0160p196,16.000031,19.687778
0161m213,16.143555,-21.202222
0161m334,16.199934,-33.317778
0161m425,16.179883,-42.404444
0161p212,16.143555,21.202222
0161p333,16.199934,33.317778
0161p424,16.179883,42.404444
0162m228,16.289676,-22.716667
0162m500,16.257985,-49.976667
0162p227,16.289676,22.716667
0162p499,16.257985,49.976667
0164m349,16.446719,-34.832222
0164p348,16.446719,34.832222
0165m243,16.513759,-24.231111
0165m637,16.514102,-63.606667
0165p242,16.513759,24.231111
0165p636,16.514102,63.606667
0166m016,16.638718,-1.514444
0166m031,16.638729,-3.028889
0166m258,16.666756,-25.745556
0166m440,16.64728,-43.918889
0166m515,16.688924,-51.491111
0166m576,16.615309,-57.548889
0166p000,16.638718,0.0
0166p015,16.638718,1.514444
0166p030,16.638729,3.028889
0166p257,16.666756,25.745556
0166p439,16.64728,43.918889
0166p514,16.688924,51.491111
0166p575,16.615309,57.548889
0167m046,16.708849,-4.543333
0167m061,16.708923,-6.057778
0167m076,16.77966,-7.572222
0167m364,16.787504,-36.346667
0167m697,16.744703,-69.664444
0167m803,16.742851,-80.265556
0167p045,16.708849,4.543333
0167p060,16.708923,6.057778
0167p075,16.77966,7.572222
